,timestamp,Asset_ID,Count,Open,High,Low,Close,Volume,VWAP,Target,Close_roll_15,Volume_roll_15,Count_roll_15,Open_15,High_15,Low_15,Close_15,VWAP_15,Volume_15,Count_15,Volume_Count,Close_roll_60,Volume_roll_60,Count_roll_60,Open_60,High_60,Low_60,Close_60,VWAP_60,Volume_60,Count_60,Close_roll_240,Volume_roll_240,Count_roll_240,Open_240,High_240,Low_240,Close_240,VWAP_240,Volume_240,Count_240
1849,1514779200,6,227.0,737.5625000000001,744.48,731.08,737.7175000000002,426.8533392899996,737.2365686638872,6.446600097032018e-05,736.6215,170.121244368,140.26666666666668,0.00127663863914424,0.010611796349514991,-0.007551298860581877,0.0014867682424337366,0.0008346376257932001,2.5091124913631964,1.6183460076045626,1.8804111862995578,733.427625,211.27511844566666,152.36666666666667,0.0056219084278568135,0.014957066138227513,-0.003206029071869461,0.005832038031146162,0.005179907414505699,2.0203672937462955,1.489827171297309,730.7188090277778,171.32955631666667,119.05,0.009322110811870144,0.018657268522240953,0.0004941733121441461,0.009532240415159633,0.008880109798519373,2.491416825366961,1.9067618647627047
1857,1514779260,6,179.0,736.9275,743.96,731.97,736.8225,503.2893450099999,736.6680550991703,-0.0010943662162711,736.7178333333335,196.24788232266664,146.4,0.0002845551278027304,0.009782309501689084,-0.006465430930333711,0.0001420614888847732,-6.756985331940444e-05,2.564559367741366,1.2226775956284153,2.8116723184916195,733.5892916666668,217.26903957516666,153.48333333333332,0.0045401917020612545,0.014037946075947686,-0.002209794356075199,0.004397698063143248,0.004188066720939164,2.316433790999851,1.166250407210338,730.7117881944445,172.02664585341668,119.075,0.008470404164183484,0.01796815853807002,0.0017204181060470312,0.008327910525265575,0.00811827918306146,2.925647608329532,1.5032542515221499
1864,1514779320,6,172.0,736.8425,744.55,732.04,737.87,264.59525818,737.6320514736453,-0.0028290987202986,736.827,200.23695104066664,150.0,2.1035924270014197e-05,0.010426879815386732,-0.00651797194374578,0.0014145281015837748,0.001091995810720868,1.3214107426469086,1.1466666666666667,1.5383445243023255,733.771625,220.07055302950002,155.35,0.004176322546107901,0.014582166437224486,-0.002362685321908001,0.005569814723421472,0.005247282432558638,1.2023201402348977,1.107177341486965,730.7101631944445,172.1591546745,118.99166666666666,0.008357277597732292,0.018763121488848993,0.0018182697297163938,0.009750769775046046,0.009428237484183132,1.536922382549265,1.4454793753063941
1872,1514779380,6,94.0,738.24,744.5,732.71,737.8675,100.74910275,738.0352516411522,-0.0047973638181331,736.9671666666667,195.2459217453333,148.46666666666667,0.0017256337658177047,0.010169510904492534,-0.00579335199611245,0.0012209279663996113,0.001448248691546524,0.5160113043560054,0.6331387516838797,1.071798965425532,733.9585833333333,219.7988595876667,156.03333333333333,0.005816373939263719,0.014260251077938445,-0.0017026118226664824,0.005311668139845614,0.005538988864992447,0.4583695426764317,0.6024353770561846,730.7116840277778,171.85336747245836,118.88333333333334,0.010250006131608194,0.018693883270283002,0.0027310203696779803,0.009745300332189994,0.009972621057336895,0.5862503844514207,0.7906911537922332
1880,1514779440,6,225.0,737.99,745.22,732.44,738.9475,284.22309899999993,738.4001054089066,-0.004471942115073,737.1435,196.47727134933334,154.4,0.0011476928602291464,0.010896895286986629,-0.006401155239425008,0.0024442949630857263,0.0017032444288177706,1.4465953086993761,1.4572538860103625,1.263213773333333,734.1489166666667,222.9213465625,158.28333333333333,0.005218382594722226,0.014967585021479636,-0.0023304655049319815,0.006514984697578824,0.005773934163310869,1.274992742430402,1.4215015267979363,730.7193715277778,172.34853069491666,119.17083333333333,0.009900785009409935,0.0196499874361674,0.002351936909755695,0.011197387112266562,0.010456336577998555,1.6491182016696064,1.8880458725219398
1888,1514779500,6,153.0,738.98,745.57,732.31,739.0525,359.35681656,739.1405263598233,-0.0046448419942395,737.3046666666667,207.4597790813333,151.13333333333333,0.0022696626068796654,0.011147832134749992,-0.006797272796224393,0.002367765997783628,0.0024868659507094517,1.7321758374143281,1.0123511248345831,2.3487373631372552,734.3443333333332,227.28927251183333,159.65,0.006292819387167571,0.015170988915037905,-0.0027741160159365074,0.0063909227780715346,0.00651002273099722,1.5810548935664832,0.9583463827121829,730.7333194444443,173.041358935875,119.31666666666666,0.011222279875785921,0.020100449403656365,0.0021553444726819123,0.011320383266689977,0.011439483219615729,2.076710555036551,1.2823019974856824
1896,1514779560,6,198.0,739.0625,746.54,732.37,739.53,228.22360605,739.2674193780139,-0.0038808343624706,737.5185,212.52553542466663,154.06666666666666,0.0020913184752318218,0.01215802628773512,-0.007005321907074076,0.0027236766341951477,0.002368549391876714,1.0738643974897681,1.2851579402855906,1.152644475,734.5477083333333,229.5531118,160.86666666666667,0.006127544132711651,0.016194251945215093,-0.002969096249594213,0.006759902291675057,0.006404775049356416,0.9942082869642893,1.2308329879817654,730.7513611111111,172.464849436875,119.64583333333333,0.011309224508615962,0.02137593232111934,0.002212584126310231,0.011941582667579371,0.011586455425260819,1.3233050490878933,1.6548842068605258
1904,1514779620,6,122.0,739.2824999999998,746.5,732.37,738.8875,208.09672455000003,739.2575581462779,-0.0025152931856884,737.7126666666667,215.33956778999996,150.0,0.0021257130150317133,0.011841208751559328,-0.007268557489639123,0.0015912683849800423,0.0020919745260583687,0.9663654788837359,0.8133333333333334,1.7057108569672135,734.7464583333333,231.81705368716666,161.05,0.006154636188947613,0.015870131925475223,-0.0032396343157231325,0.005620191558895883,0.006120897699974334,0.8976765136132874,0.7575287177895063,730.7700381944445,171.80316898670833,119.47916666666667,0.011581296218571393,0.021296791955099106,0.0021870257139005793,0.011046851588519872,0.011547557729598135,1.211250792272054,1.0210985178727114
1912,1514779680,6,113.0,738.775,746.36,732.31,738.4825000000002,143.57663045,738.6709647722245,-0.0003926998452901,737.8208333333333,212.5347818653333,144.4,0.0012923872300546287,0.011507035663840334,-0.0074971002857947035,0.0008963831429915476,0.00115155605188894,0.6755441588895945,0.7825484764542936,1.27058965,734.9411249999999,231.61980676416667,160.65,0.00520301513158212,0.015417663565367803,-0.0035864723842672684,0.004807011044519054,0.005062183953416358,0.619880624441538,0.7033924680983504,730.7841736111112,171.8798868635,119.4875,0.010875241077811178,0.021089889511597,0.0020857535619619124,0.010479236990748125,0.01073440989964564,0.8353311901119805,0.9457056177424417
1920,1514779740,6,93.0,738.48,745.58,732.34,738.4775000000002,100.10154311,738.550815542076,0.0013172018434053,737.9345,205.92790920333331,143.2,0.0007389524077723925,0.010307371703152312,-0.007610180276345263,0.0007355670700090199,0.0008348414594903229,0.4860999341821107,0.649441340782123,1.0763606786021505,735.1242083333333,231.46011571283333,160.86666666666667,0.0045545438167129025,0.014122963112092674,-0.0037945888674047776,0.004551158478949498,0.004650432868430928,0.4324785840606484,0.5781185246581019,730.7972048611111,171.65803183979168,119.475,0.010458019951216632,0.02002643924659651,0.002108887267098912,0.010454634613453294,0.010553909002934432,0.5831451172842568,0.778405524168236
